rgiid,period,area,dmdtda,err_dmdtda,reg,is_cor,RGIId,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,CenLon,CenLat,northness,eastness
RGI60-11.00882,2000-01-01_2020-01-01,17000.0,-0.1078,0.2946,11,False,RGI60-11.00882,0.017,2881,2915,2902,17.0,343,103,8.98324,46.8389,0.9563047559630353,-0.29237170472273716
RGI60-11.00883,2000-01-01_2020-01-01,30000.0,-0.706,0.6012,11,False,RGI60-11.00883,0.03,3009,3187,3096,42.2,141,206,11.083,46.8191,-0.7771459614569709,0.6293203910498374
RGI60-11.00884,2000-01-01_2020-01-01,363000.0,-1.0647,0.3236,11,False,RGI60-11.00884,0.363,2343,2632,2447,19.1,13,1222,8.81494,46.8333,0.9743700647852352,0.224951054343865
RGI60-11.00885,2000-01-01_2020-01-01,867000.0,-0.7182,0.193,11,False,RGI60-11.00885,0.867,2944,3433,3165,23.1,123,1203,10.7688,46.8193,-0.5446390350150271,0.838670567945424
RGI60-11.00886,2000-01-01_2020-01-01,2398000.0,-0.9293,0.1899,11,False,RGI60-11.00886,2.398,2744,3463,3117,17.0,326,3159,10.9455,46.8104,0.8290375725550418,-0.5591929034707466
RGI60-11.00887,2000-01-01_2020-01-01,8938000.0,-1.1512,0.1634,11,False,RGI60-11.00887,8.938,2467,3357,3000,11.1,344,6175,10.9827,46.7845,0.9612616959383189,-0.27563735581699894
RGI60-11.00888,2000-01-01_2020-01-01,230000.0,-0.7346,0.326,11,False,RGI60-11.00888,0.23,3023,3355,3180,25.9,52,562,10.8712,46.8198,0.6156614753256583,0.788010753606722
RGI60-11.00889,2000-01-01_2020-01-01,12000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.00889,0.012,2661,2697,2682,15.5,238,112,10.061,46.8318,-0.529919264233205,-0.848048096156426
RGI60-11.00890,2000-01-01_2020-01-01,265000.0,-0.4831,0.2225,11,False,RGI60-11.00890,0.265,3032,3343,3218,28.4,78,596,10.9589,46.817,0.20791169081775945,0.9781476007338056
RGI60-11.00891,2000-01-01_2020-01-01,13000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.00891,0.013,2756,2831,2790,29.5,269,146,8.97903,46.8365,-0.017452406437283498,-0.9998476951563913
RGI60-11.00892,2000-01-01_2020-01-01,423000.0,-0.8381,0.2782,11,False,RGI60-11.00892,0.423,2587,2930,2749,17.5,93,949,8.98871,46.833,-0.05233595624294384,0.9986295347545738
RGI60-11.00893,2000-01-01_2020-01-01,662000.0,-0.7186,0.1934,11,False,RGI60-11.00893,0.662,2986,3313,3105,16.5,279,960,11.029,46.8131,0.15643446504023067,-0.9876883405951378
RGI60-11.00894,2000-01-01_2020-01-01,573000.0,-0.7505,0.232,11,False,RGI60-11.00894,0.573,2544,3139,2843,21.9,356,1030,8.83505,46.8317,0.9975640502598242,-0.06975647374412564
RGI60-11.00895,2000-01-01_2020-01-01,314000.0,-0.6786,0.2299,11,False,RGI60-11.00895,0.314,2910,3273,3083,19.5,336,1079,10.8624,46.8155,0.913545457642601,-0.40673664307580015
RGI60-11.00896,2000-01-01_2020-01-01,39000.0,-0.2449,0.6111,11,False,RGI60-11.00896,0.039,2792,3086,2948,33.4,26,553,8.82889,46.8299,0.898794046299167,0.4383711467890774
RGI60-11.00897,2000-01-01_2020-01-01,8036000.0,-1.1003,0.1718,11,False,RGI60-11.00897,8.036,2430,3674,3051,16.2,71,7178,10.7584,46.8003,0.32556815445715676,0.9455185755993167
RGI60-11.00898,2000-01-01_2020-01-01,94000.0,-1.0079,0.5156,11,False,RGI60-11.00898,0.094,3000,3310,3096,24.7,40,636,10.9218,46.8148,0.766044443118978,0.6427876096865393
RGI60-11.00899,2000-01-01_2020-01-01,271000.0,-0.6864,0.3048,11,False,RGI60-11.00899,0.271,2378,2727,2534,21.9,299,1162,8.80623,46.8274,0.4848096202463373,-0.8746197071393956
RGI60-11.00900,2000-01-01_2020-01-01,32000.0,0.3592,0.5487,11,False,RGI60-11.00900,0.032,2874,2994,2937,37.5,327,160,8.81979,46.8288,0.838670567945424,-0.544639035015027
RGI60-11.00901,2000-01-01_2020-01-01,23000.0,-0.0913,0.3355,11,False,RGI60-11.00901,0.023,2786,2846,2808,14.0,98,224,8.98508,46.8286,-0.13917310096006535,0.9902680687415704
RGI60-11.00902,2000-01-01_2020-01-01,61000.0,-0.7046,0.392,11,False,RGI60-11.00902,0.061,3144,3319,3236,28.7,39,340,10.9253,46.8123,0.7771459614569709,0.6293203910498374
RGI60-11.00903,2000-01-01_2020-01-01,1410000.0,-0.7135,0.1708,11,False,RGI60-11.00903,1.41,2675,3509,3060,23.2,358,1995,10.7132,46.8061,0.9993908270190958,-0.034899496702500823
RGI60-11.00904,2000-01-01_2020-01-01,452000.0,-0.6394,0.2137,11,False,RGI60-11.00904,0.452,2914,3270,3045,22.9,329,830,10.854,46.8096,0.8571673007021121,-0.5150380749100545
RGI60-11.00905,2000-01-01_2020-01-01,532000.0,-0.4976,0.1839,11,False,RGI60-11.00905,0.532,2932,3487,3228,28.2,64,1001,10.9631,46.8065,0.43837114678907746,0.898794046299167
RGI60-11.00906,2000-01-01_2020-01-01,903000.0,-0.9848,0.2465,11,False,RGI60-11.00906,0.903,2431,2826,2642,21.5,168,1299,8.81057,46.8223,-0.9781476007338057,0.20791169081775931
RGI60-11.00907,2000-01-01_2020-01-01,307000.0,-0.4844,0.2483,11,False,RGI60-11.00907,0.307,2498,3107,2812,28.9,180,849,8.82555,46.8222,-1.0,1.2246467991473532e-16
RGI60-11.00908,2000-01-01_2020-01-01,32000.0,-0.6988,0.6709,11,False,RGI60-11.00908,0.032,2661,2822,2716,25.5,70,320,8.89215,46.8259,0.3420201433256688,0.9396926207859083
RGI60-11.00909,2000-01-01_2020-01-01,321000.0,-0.9103,0.3143,11,False,RGI60-11.00909,0.321,2946,3357,3068,27.0,111,898,11.05,46.8053,-0.35836794954530027,0.9335804264972017
RGI60-11.00910,2000-01-01_2020-01-01,15000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.00910,0.015,2070,2163,2123,19.2,79,305,8.55557,46.8252,0.19080899537654492,0.981627183447664
RGI60-11.00911,2000-01-01_2020-01-01,66000.0,-0.1699,0.3481,11,False,RGI60-11.00911,0.066,2439,2572,2481,24.0,28,250,8.92864,46.8252,0.882947592858927,0.4694715627858908
