country,glacier_name,glacier_id,outline_id,year,time_system,begin_date,begin_date_unc,midseason_date,midseason_date_unc,end_date,end_date_unc,winter_balance,winter_balance_unc,summer_balance,summer_balance_unc,annual_balance,annual_balance_unc,ela_position,ela,ela_unc,aar,area,investigators,agencies,references,remarks,id,rgi60_ids
CH,SCHWARZBERG,395,,2022,floating,2021-09-02,0.0,,,2022-09-06,0.0,,,,,-3.386,,above,3555.0,,0.0,4890630.0,"Andreas Bauder (89, 93) | Elias Hodel (89, 93)","89. ETH Zurich > Laboratory of Hydraulics, Hydrology and Glaciology | 93. Glacier Monitoring in Switzerland","Huss et al 2015, Journal of Glaciology",,395,RGI60-11.02746
CH,SEX ROUGE,454,,2022,floating,2021-09-12,0.0,2022-04-27,0.0,2022-09-11,0.0,1.532,,-5.543,,-4.011,,above,2882.0,,0.0,257300.0,"Mauro Fischer (134, 93)",134. University of Fribourg | 93. Glacier Monitoring in Switzerland,"Fischer et al 2016, The Cryosphere",,454,RGI60-11.02244
CH,SILVRETTA,408,,2022,floating,2021-09-17,0.0,2022-05-02,0.0,2022-09-11,0.0,0.939,,-4.192,,-3.253,,above,3065.0,,0.0,2388760.0,"Andreas Bauder (89, 93)","89. ETH Zurich > Laboratory of Hydraulics, Hydrology and Glaciology | 93. Glacier Monitoring in Switzerland","Huss et al 2015, Journal of Glaciology",,408,RGI60-11.00804
CH,TSANFLEURON,371,,2022,floating,2021-10-02,0.0,2022-04-27,0.0,2022-09-10,0.0,1.578,,-5.544,,-3.966,,above,2975.0,,0.0,2323750.0,"Mauro Fischer (134, 93)",134. University of Fribourg | 93. Glacier Monitoring in Switzerland,,,371,RGI60-11.02249
ES,MALADETA,942,1136928.0,2022,fixed,2021-10-01,0.0,2022-06-05,0.0,2022-10-04,0.0,1.113,,-4.13,,-3.017,,above,3200.0,,0.0,146695.0,Guillermo Cobos Campos (221),221. Technical University of Valencia > Department of Geological and Geotechnical Engineering,,,942,RGI60-11.03209
FR,ARGENTIERE,354,,2022,floating,2021-09-22,0.0,2022-04-28,0.0,2022-10-06,0.0,,,,,-3.63,0.15,above,,,,,Delphine Six (231) | Christian Vincent (231) | (546),231. National Centre for Scientific Research | 546. Electricité d'Emosson,,,354,RGI60-11.03638
FR,GEBROULAZ,352,,2022,floating,2021-10-08,0.0,2022-05-12,0.0,2022-10-05,0.0,,,,,-2.55,0.15,above,,,,,Delphine Six (231) | Christian Vincent (231) | (545),231. National Centre for Scientific Research | 545. Vanoise National Park,,,352,RGI60-11.03671
FR,MER DE GLACE,353,,2022,floating,2021-10-07,0.0,2022-05-06,0.0,2022-10-06,0.0,,,,,,,above,,,,,Delphine Six (231) | Christian Vincent (231),231. National Centre for Scientific Research,,,353,RGI60-11.03643
FR,OSSOUE,2867,,2022,floating,2021-10-10,0.0,2022-05-28,0.0,2022-10-09,0.0,2.01,0.2,-6.07,0.1,-4.06,0.15,above,,,,,Pierre René (238),238. Association Moraine,,,2867,RGI60-11.03232
FR,SAINT SORLIN,356,,2022,floating,2021-10-08,0.0,2022-04-12,0.0,2022-09-23,0.0,,,,,-3.78,0.15,above,,,,,Delphine Six (231) | Christian Vincent (231),231. National Centre for Scientific Research,,,356,RGI60-11.03674
