rgiid,period,area,dmdtda,err_dmdtda,reg,is_cor,RGIId,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,CenLon,CenLat,northness,eastness,t_jja,p_annual,srad_jja,z_era5,t_jja_corr,apdd,apdd_2022,apdd_anom_2022
RGI60-11.01303,2000-01-01_2020-01-01,14000.0,-0.1075,0.3068,11,False,RGI60-11.01303,0.014,2627,2666,2639,13.9,278,146,8.94346,46.6228,0.1391731009600654,-0.9902680687415704,11.145276,1808.1435203552248,19509462.0,1933.0765,6.556773567199707,839.2357260722254,1096.5599856793865,257.32425960716114
RGI60-11.01304,2000-01-01_2020-01-01,94000.0,-0.7195,0.422,11,False,RGI60-11.01304,0.094,2693,2908,2828,23.9,73,487,8.78963,46.6198,0.2923717047227367,0.9563047559630354,10.148403,1864.083766937256,19527884.0,2075.6611,5.258200531005859,657.7626867227489,898.4998544810192,240.7371677582703
RGI60-11.01305,2000-01-01_2020-01-01,17000.0,-0.3349,0.6252,11,False,RGI60-11.01305,0.017,2209,2349,2280,33.8,27,195,8.07946,46.6169,0.8910065241883679,0.4539904997395467,8.8559265,1821.775388717652,20269116.0,2247.0383,8.641675659179688,1182.4959780059944,1512.9904763889763,330.4944983829819
RGI60-11.01306,2000-01-01_2020-01-01,32000.0,-0.0819,0.5617,11,False,RGI60-11.01306,0.032,2753,2872,2817,36.6,323,195,8.24994,46.6178,0.7986355100472928,-0.6018150231520483,8.086038,1923.3878135681152,20174686.0,2369.8513,5.17957120513916,653.9031140756586,902.825522138451,248.92240806279244
RGI60-11.01307,2000-01-01_2020-01-01,14000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.01307,0.014,2894,2999,2936,42.5,158,127,8.44202,46.6189,-0.9271838545667872,0.3746065934159122,9.1139,1913.577222824097,19746142.0,2223.5479,4.482961219787597,563.9266980655523,790.1478921758588,226.22119411030656
RGI60-11.01308,2000-01-01_2020-01-01,278000.0,-0.6546,0.2574,11,False,RGI60-11.01308,0.278,2573,2876,2760,20.8,322,704,8.78232,46.6165,0.788010753606722,-0.6156614753256582,10.148403,1864.083766937256,19527884.0,2075.6611,5.700200531005859,715.5625098916927,965.5022739139998,249.93976402230714
RGI60-11.01309,2000-01-01_2020-01-01,12000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.01309,0.012,3072,3167,3120,40.0,207,135,8.43676,46.6188,-0.8910065241883679,-0.4539904997395466,9.1139,1913.577222824097,19746142.0,2223.5479,3.2869612197875977,434.6097918195237,633.0270027977402,198.41721097821653
RGI60-11.01310,2000-01-01_2020-01-01,21000.0,-0.4953,0.7133,11,False,RGI60-11.01310,0.021,2836,2982,2912,49.0,209,177,8.45121,46.6187,-0.8746197071393959,-0.4848096202463369,9.1139,1913.577222824097,19746142.0,2223.5479,4.638961219787598,582.2780878637285,812.0309587888781,229.75287092514964
RGI60-11.01311,2000-01-01_2020-01-01,85000.0,-0.4381,0.4691,11,False,RGI60-11.01311,0.085,2640,2966,2768,31.7,97,557,8.26019,46.6156,-0.1218693434051473,0.992546151641322,8.086038,1923.3878135681152,20174686.0,2369.8513,5.49807120513916,695.1224441469728,951.3001979476771,256.1777538007043
RGI60-11.01312,2000-01-01_2020-01-01,61000.0,-0.2652,0.3667,11,False,RGI60-11.01312,0.061,2970,3099,3037,25.9,130,237,8.9154,46.6184,-0.6427876096865394,0.766044443118978,11.145276,1808.1435203552248,19509462.0,1933.0765,3.969773567199708,506.8243300836752,711.4853065963802,204.66097651270502
RGI60-11.01313,2000-01-01_2020-01-01,268000.0,-0.4224,0.2398,11,False,RGI60-11.01313,0.268,2695,2978,2856,25.7,285,530,8.36605,46.6119,0.2588190451025203,-0.9659258262890684,8.086038,1923.3878135681152,20174686.0,2369.8513,4.92607120513916,622.1271304206214,865.1785878934296,243.05145747280824
RGI60-11.01314,2000-01-01_2020-01-01,11000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.01314,0.011,2697,2784,2740,30.8,83,160,8.79253,46.6187,0.1218693434051474,0.992546151641322,10.148403,1864.083766937256,19527884.0,2075.6611,5.830200531005859,733.0840669163284,985.6664445554632,252.58237763913473
RGI60-11.01315,2000-01-01_2020-01-01,20000.0,-0.3019,0.4447,11,False,RGI60-11.01315,0.02,2764,2841,2799,25.7,337,135,8.87879,46.6184,0.9205048534524404,-0.3907311284892739,11.145276,1808.1435203552248,19509462.0,1933.0765,5.516773567199707,694.2281653624402,931.7479361756355,237.51977081319524
RGI60-11.01316,2000-01-01_2020-01-01,295000.0,-0.9636,0.2788,11,False,RGI60-11.01316,0.295,2748,3033,2885,24.6,139,635,8.25267,46.6134,-0.754709580222772,0.6560590289905073,8.086038,1923.3878135681152,20174686.0,2369.8513,4.73757120513916,599.0915320150962,837.7266116604652,238.63507964536905
RGI60-11.01317,2000-01-01_2020-01-01,14000.0,-0.0012,0.4168,11,False,RGI60-11.01317,0.014,2946,3008,2981,30.5,289,103,8.24763,46.6145,0.3255681544571563,-0.945518575599317,8.086038,1923.3878135681152,20174686.0,2369.8513,4.11357120513916,526.4417889303062,750.1879967177022,223.74620778739597
RGI60-11.01318,2000-01-01_2020-01-01,539000.0,-0.602,0.2334,11,False,RGI60-11.01318,0.539,2349,3097,2734,35.1,5,1146,8.08655,46.609,0.9961946980917455,0.0871557427476581,8.8559265,1821.775388717652,20269116.0,2247.0383,5.690675659179687,722.756395400185,994.171828960426,271.4154335602409
RGI60-11.01319,2000-01-01_2020-01-01,23000.0,-0.6788,0.6015,11,False,RGI60-11.01319,0.023,2830,2889,2880,16.2,111,236,8.78896,46.6167,-0.3583679495453002,0.9335804264972016,10.148403,1864.083766937256,19527884.0,2075.6611,4.920200531005859,615.4165297642801,848.9092391917204,233.49270942744033
RGI60-11.01320,2000-01-01_2020-01-01,15000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.01320,0.015,2626,2669,2642,15.2,135,146,8.44759,46.6153,-0.7071067811865475,0.7071067811865476,9.1139,1913.577222824097,19746142.0,2223.5479,6.393961219787598,812.2775247992952,1079.4383918908622,267.16086709156707
RGI60-11.01321,2000-01-01_2020-01-01,156000.0,-1.037,0.3837,11,False,RGI60-11.01321,0.156,2669,2906,2783,23.7,329,575,8.87574,46.6146,0.8571673007021121,-0.5150380749100545,11.145276,1808.1435203552248,19509462.0,1933.0765,5.620773567199707,708.0442425179747,947.6409486013895,239.5967060834148
RGI60-11.01322,2000-01-01_2020-01-01,12000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.01322,0.012,2708,2777,2737,16.7,313,215,8.77929,46.6157,0.6819983600624986,-0.7313537016191703,10.148403,1864.083766937256,19527884.0,2075.6611,5.849700531005859,735.7327159916175,988.7088349869058,252.9761189952883
RGI60-11.01323,2000-01-01_2020-01-01,141000.0,-1.2061,0.4167,11,False,RGI60-11.01323,0.141,2987,3124,3083,18.9,140,358,8.90824,46.6137,-0.7660444431189779,0.6427876096865395,11.145276,1808.1435203552248,19509462.0,1933.0765,3.6707735671997073,474.5312802520767,672.5114120134474,197.98013176137067
RGI60-11.01324,2000-01-01_2020-01-01,36000.0,-0.7795,0.8801,11,False,RGI60-11.01324,0.036,3182,3415,3279,47.1,306,195,8.41429,46.6134,0.5877852522924729,-0.8090169943749476,9.1139,1913.577222824097,19746142.0,2223.5479,2.2534612197875976,338.99218545299664,512.7654696794124,173.77328422641574
RGI60-11.01325,2000-01-01_2020-01-01,51000.0,-1.1799,0.6867,11,False,RGI60-11.01325,0.051,2827,2900,2873,22.1,108,168,8.37097,46.6118,-0.3090169943749473,0.9510565162951536,8.086038,1923.3878135681152,20174686.0,2369.8513,4.81557120513916,608.5621873895677,849.0297600452643,240.46757265569659
RGI60-11.01326,2000-01-01_2020-01-01,37000.0,-0.2919,0.5392,11,False,RGI60-11.01326,0.037,3340,3507,3470,29.2,308,301,8.41609,46.6118,0.6156614753256585,-0.7880107536067218,9.1139,1913.577222824097,19746142.0,2223.5479,1.0119612197875971,243.46681525277768,387.6223600650013,144.15554481222364
